seed,corruption_kind,severity,metric,original_value,replay_value,abs_diff
74,dropout,0.05,entropy_shift,0.030298470474132366,0.030298470474132366,0.0
74,dropout,0.1,delta_acc,0.09704000000000002,0.09704000000000002,0.0
74,dropout,0.1,class_js_divergence,0.004698664295323527,0.004698664295323465,6.158268339717665e-17
74,dropout,0.1,confidence_drop,0.027135869448880356,0.027135869448880356,0.0
74,dropout,0.1,entropy_shift,0.07197336742320315,0.07197336742320315,0.0
74,eta_phi_jitter,0.02,delta_acc,0.021586666666666643,0.021586666666666643,0.0
74,eta_phi_jitter,0.02,class_js_divergence,0.002217771538080007,0.0022177715380799928,1.431146867680866e-17
74,eta_phi_jitter,0.02,confidence_drop,0.010698503975371532,0.010698503975371532,0.0
74,eta_phi_jitter,0.02,entropy_shift,0.03219072128993161,0.03219072128993161,0.0
74,eta_phi_jitter,0.05,delta_acc,0.22553999999999996,0.22553999999999996,0.0
74,eta_phi_jitter,0.05,class_js_divergence,0.06564695259802386,0.06564695259802386,0.0
74,eta_phi_jitter,0.05,confidence_drop,0.013629246988892563,0.013629246988892563,0.0
74,eta_phi_jitter,0.05,entropy_shift,0.05420447847946219,0.05420447847946219,0.0
74,global_scale,0.03,delta_acc,0.003486666666666638,0.003486666666666638,0.0
74,global_scale,0.03,class_js_divergence,6.236075731163134e-07,6.236075731900256e-07,7.371219520185823e-17
74,global_scale,0.03,confidence_drop,0.0010573087143898041,0.0010573087143898041,0.0
74,global_scale,0.03,entropy_shift,0.002799520627240093,0.002799520627240093,0.0
74,merge,0.1,delta_acc,0.020580000000000043,0.020580000000000043,0.0
74,merge,0.1,class_js_divergence,0.0006924657979630609,0.0006924657979630853,2.439454888092385e-17
74,merge,0.1,confidence_drop,0.004643931270440493,0.004643931270440493,0.0
74,merge,0.1,entropy_shift,0.013236130514697408,0.013236130514697408,0.0
74,merge,0.2,delta_acc,0.04693333333333338,0.04693333333333338,0.0
74,merge,0.2,class_js_divergence,0.0028845544024397587,0.0028845544024398055,4.683753385137379e-17
74,merge,0.2,confidence_drop,0.010434852787355675,0.010434852787355675,0.0
74,merge,0.2,entropy_shift,0.02901256548569542,0.02901256548569542,0.0
74,pt_noise,0.03,delta_acc,0.0005466666666666953,0.0005466666666666953,0.0
74,pt_noise,0.03,class_js_divergence,1.671774669707591e-08,1.671774662881522e-08,6.826069115332956e-17
74,pt_noise,0.03,confidence_drop,0.000151932727793902,0.000151932727793902,0.0
74,pt_noise,0.03,entropy_shift,0.0003771331865255467,0.0003771331865255467,0.0
74,pt_noise,0.06,delta_acc,0.0014666666666667272,0.0014666666666667272,0.0
74,pt_noise,0.06,class_js_divergence,1.333646914103377e-07,1.33364691357266e-07,5.307169634316544e-17
74,pt_noise,0.06,confidence_drop,0.000304518363277162,0.000304518363277162,0.0
74,pt_noise,0.06,entropy_shift,0.0010086041641724774,0.0010086041641724774,0.0
85,dropout,0.05,delta_acc,0.04252666666666671,0.04252666666666671,0.0
85,dropout,0.05,class_js_divergence,0.0010456714600958574,0.0010456714600958574,0.0
85,dropout,0.05,confidence_drop,0.010411308853328305,0.010411308853328305,0.0
85,dropout,0.05,entropy_shift,0.02877795624692936,0.02877795624692936,0.0
85,dropout,0.1,delta_acc,0.10161333333333333,0.10161333333333333,0.0
85,dropout,0.1,class_js_divergence,0.005081186371130913,0.005081186371130847,6.591949208711867e-17
85,dropout,0.1,confidence_drop,0.024823313295344596,0.024823313295344596,0.0
85,dropout,0.1,entropy_shift,0.06808836904447868,0.06808836904447868,0.0
85,eta_phi_jitter,0.02,delta_acc,0.029340000000000033,0.029340000000000033,0.0
85,eta_phi_jitter,0.02,class_js_divergence,0.0031006094464952477,0.0031006094464953457,9.80118763926896e-17
