run_name,a_source,a_source_label,lambda_rrr,mask_frac,iteration,jetclass_test_acc,jetclass_test_auc,aspen_strong3
rrr_findanother_seed52_input_grad_lam1_mask0p30,input_grad,Input gradients,1.0,0.3,1,0.71034,0.9553621578024692,0.662777748439704
rrr_findanother_seed52_input_grad_lam1_mask0p30,input_grad,Input gradients,1.0,0.3,2,0.7025866666666667,0.9540155999753086,0.6797471988202529
rrr_findanother_seed52_input_grad_lam1_mask0p30,input_grad,Input gradients,1.0,0.3,3,0.71176,0.9562724232839508,0.5112851855463107
rrr_findanother_seed52_input_grad_lam1_mask0p30,input_grad,Input gradients,1.0,0.3,4,0.70508,0.954503382839506,0.7345358512051545
rrr_findanother_seed52_input_grad_lam1_mask0p30,input_grad,Input gradients,1.0,0.3,5,0.7051133333333334,0.954218822691358,0.64718193793312
rrr_findanother_seed52_integrated_gradients_lam10_mask0p05,integrated_gradients,Integrated Gradients,10.0,0.05,1,0.7029066666666667,0.9540152656790124,0.4917560486549845
rrr_findanother_seed52_integrated_gradients_lam10_mask0p05,integrated_gradients,Integrated Gradients,10.0,0.05,2,0.6878066666666667,0.9511131713333334,0.6847048895942036
rrr_findanother_seed52_integrated_gradients_lam10_mask0p05,integrated_gradients,Integrated Gradients,10.0,0.05,3,0.6910666666666667,0.9523422428395062,0.7627253466086645
rrr_findanother_seed52_integrated_gradients_lam10_mask0p05,integrated_gradients,Integrated Gradients,10.0,0.05,4,0.69028,0.9519249548888888,0.6113703135762647
rrr_findanother_seed52_integrated_gradients_lam10_mask0p05,integrated_gradients,Integrated Gradients,10.0,0.05,5,0.69302,0.9520176459506172,0.6246539358475368
rrr_findanother_seed52_integrated_gradients_lam10_mask0p10,integrated_gradients,Integrated Gradients,10.0,0.1,1,0.70362,0.9542800983703704,0.517416488137863
rrr_findanother_seed52_integrated_gradients_lam10_mask0p10,integrated_gradients,Integrated Gradients,10.0,0.1,2,0.6875333333333333,0.9515347297037036,0.6626007988540719
rrr_findanother_seed52_integrated_gradients_lam10_mask0p10,integrated_gradients,Integrated Gradients,10.0,0.1,3,0.6905666666666667,0.9523444122222224,0.722149571623055
rrr_findanother_seed52_integrated_gradients_lam10_mask0p10,integrated_gradients,Integrated Gradients,10.0,0.1,4,0.6904266666666666,0.952345152691358,0.6975195729963565
rrr_findanother_seed52_integrated_gradients_lam10_mask0p10,integrated_gradients,Integrated Gradients,10.0,0.1,5,0.6934066666666666,0.9523925299753088,0.6744431680082555
rrr_findanother_seed52_integrated_gradients_lam10_mask0p20,integrated_gradients,Integrated Gradients,10.0,0.2,1,0.7017933333333334,0.9538260276543208,0.5674927198596061
rrr_findanother_seed52_integrated_gradients_lam10_mask0p20,integrated_gradients,Integrated Gradients,10.0,0.2,2,0.68874,0.9519270407901236,0.7370309050535461
rrr_findanother_seed52_integrated_gradients_lam10_mask0p20,integrated_gradients,Integrated Gradients,10.0,0.2,3,0.69176,0.952644297382716,0.6784231418039818
rrr_findanother_seed52_integrated_gradients_lam10_mask0p20,integrated_gradients,Integrated Gradients,10.0,0.2,4,0.6920466666666667,0.9525794522222222,0.7366852015167478
rrr_findanother_seed52_integrated_gradients_lam10_mask0p20,integrated_gradients,Integrated Gradients,10.0,0.2,5,0.6953266666666666,0.9526546538271604,0.6443000272977146
rrr_findanother_seed52_integrated_gradients_lam10_mask0p30,integrated_gradients,Integrated Gradients,10.0,0.3,1,0.7031266666666667,0.9540030579012344,0.5372981252296143
rrr_findanother_seed52_integrated_gradients_lam10_mask0p30,integrated_gradients,Integrated Gradients,10.0,0.3,2,0.69082,0.9522929441481484,0.6795499577972085
rrr_findanother_seed52_integrated_gradients_lam10_mask0p30,integrated_gradients,Integrated Gradients,10.0,0.3,3,0.6931866666666666,0.9529206560493826,0.63493439149025
rrr_findanother_seed52_integrated_gradients_lam10_mask0p30,integrated_gradients,Integrated Gradients,10.0,0.3,4,0.6934533333333334,0.9528666832098764,0.700003852463646
rrr_findanother_seed52_integrated_gradients_lam10_mask0p30,integrated_gradients,Integrated Gradients,10.0,0.3,5,0.69724,0.9529197205185186,0.7349967400339826
rrr_findanother_seed52_integrated_gradients_lam1_mask0p05,integrated_gradients,Integrated Gradients,1.0,0.05,1,0.71116,0.9555323049629628,0.6076376695134552
rrr_findanother_seed52_integrated_gradients_lam1_mask0p05,integrated_gradients,Integrated Gradients,1.0,0.05,2,0.69762,0.9530955661975308,0.6372639964871135
rrr_findanother_seed52_integrated_gradients_lam1_mask0p05,integrated_gradients,Integrated Gradients,1.0,0.05,3,0.7133666666666667,0.9569346852592592,0.6553529391936187
rrr_findanother_seed52_integrated_gradients_lam1_mask0p05,integrated_gradients,Integrated Gradients,1.0,0.05,4,0.7008933333333334,0.9537753505925926,0.7010479603959009
rrr_findanother_seed52_integrated_gradients_lam1_mask0p05,integrated_gradients,Integrated Gradients,1.0,0.05,5,0.7024866666666667,0.9537329822962964,0.6903785309806233
rrr_findanother_seed52_integrated_gradients_lam1_mask0p10,integrated_gradients,Integrated Gradients,1.0,0.1,1,0.7093266666666667,0.9551590152592592,0.585228511885249
rrr_findanother_seed52_integrated_gradients_lam1_mask0p10,integrated_gradients,Integrated Gradients,1.0,0.1,2,0.6983466666666667,0.9530855432592592,0.6334018855525302
rrr_findanother_seed52_integrated_gradients_lam1_mask0p10,integrated_gradients,Integrated Gradients,1.0,0.1,3,0.7154733333333333,0.9573905523703704,0.621038971042124
rrr_findanother_seed52_integrated_gradients_lam1_mask0p10,integrated_gradients,Integrated Gradients,1.0,0.1,4,0.70158,0.9539378813580246,0.6750305050382762
rrr_findanother_seed52_integrated_gradients_lam1_mask0p10,integrated_gradients,Integrated Gradients,1.0,0.1,5,0.70338,0.9540077009629632,0.7151459834854766
rrr_findanother_seed52_integrated_gradients_lam1_mask0p20,integrated_gradients,Integrated Gradients,1.0,0.2,1,0.7102266666666667,0.9552571137777776,0.6140445240227984
rrr_findanother_seed52_integrated_gradients_lam1_mask0p20,integrated_gradients,Integrated Gradients,1.0,0.2,2,0.7016733333333334,0.953813260839506,0.6539189243791504
rrr_findanother_seed52_integrated_gradients_lam1_mask0p20,integrated_gradients,Integrated Gradients,1.0,0.2,3,0.71766,0.957713092962963,0.6131928642793406
rrr_findanother_seed52_integrated_gradients_lam1_mask0p20,integrated_gradients,Integrated Gradients,1.0,0.2,4,0.7045266666666666,0.9544109615308642,0.6899134323005147
rrr_findanother_seed52_integrated_gradients_lam1_mask0p20,integrated_gradients,Integrated Gradients,1.0,0.2,5,0.7052866666666666,0.954185006,0.5822698765232797
rrr_findanother_seed52_integrated_gradients_lam1_mask0p30,integrated_gradients,Integrated Gradients,1.0,0.3,1,0.7076266666666666,0.9549097915802468,0.6596796727200479
rrr_findanother_seed52_integrated_gradients_lam1_mask0p30,integrated_gradients,Integrated Gradients,1.0,0.3,2,0.70488,0.9546715059506172,0.7746490108472379
rrr_findanother_seed52_integrated_gradients_lam1_mask0p30,integrated_gradients,Integrated Gradients,1.0,0.3,3,0.70726,0.9549348447901236,0.6084969996047059
rrr_findanother_seed52_integrated_gradients_lam1_mask0p30,integrated_gradients,Integrated Gradients,1.0,0.3,4,0.7082866666666666,0.9548989869382716,0.7919683568037278
